New Frost 20 Layers  CP44_Bin,New Frost 20 Layers  CP44_Frequency,New Frost 20 Layers Low Life Bulk CP44_Bin,New Frost 20 Layers Low Life Bulk CP44_Frequency
97.12717522,0.000117631585959,103.44634318,0.000228917325214
109.87247966,0.000141157903151,115.92745554,0.000152611550142
122.6177841,0.000270552647707,128.4085679,0.000534140425499
135.36308854,0.000599921088393,140.88968026,0.000534140425499
148.10839298,0.000917526370483,153.37079262,0.000534140425499
160.85369742,0.000905763211887,165.85190498,0.000991975075926
173.59900186,0.00135276323853,178.33301734,0.00183133860171
186.3443063,0.00152921061747,190.8141297,0.00175503282664
199.08961074,0.00197621064412,203.29524206,0.00206025592692
211.83491518,0.00207031591289,215.77635442,0.00175503282664
224.58021962,0.00258789489111,228.25746678,0.00274700790256
237.32552406,0.00292902649039,240.73857914,0.00312853677792
250.0708285,0.0031760528209,253.2196915,0.00320484255299
262.81613294,0.0031760528209,265.70080386,0.00404420607878
275.56143738,0.00402300023981,278.18191622,0.00351006565328
288.30674182,0.00423473709454,290.66302858,0.00473095805442
301.05204626,0.00510521083064,303.14414094,0.00434942917906
313.7973507,0.00529342136817,315.6252533,0.0045020407292
326.54265514,0.00546986874711,328.10636566,0.00465465227935
339.28795958,0.00501110556187,340.58747802,0.00587554468048
352.03326402,0.00568160560184,353.06859038,0.00640968510598
364.77856846,0.00537576347834,365.54970274,0.00686751975641
377.5238729,0.00571689507763,378.0308151,0.00495987537963
390.26917734,0.00556397401588,390.51192746,0.00602815623063
403.01448178,0.00523460557519,402.99303982,0.00473095805442
