New Spectra Baseline Poofs_Bin,New Spectra Baseline Poofs_Frequency,New Spectra Baseline CP4_Bin,New Spectra Baseline CP4_Frequency,New Spectra Single Interface CP4_Bin,New Spectra Single Interface CP4_Frequency,New Spectra 5 Layers CP14_Bin,New Spectra 5 Layers CP14_Frequency,New Spectra 10 Layers CP24_Bin,New Spectra 10 Layers CP24_Frequency,New Spectra 15 Layers CP34_Bin,New Spectra 15 Layers CP34_Frequency,New Spectra 20 Layers CP44_Bin,New Spectra 20 Layers CP44_Frequency,New Spectra 30 Layers CP64_Bin,New Spectra 30 Layers CP64_Frequency
6.74741544,0.607524383224,82.43405242,0.231969987057,82.25252562,0.312468644186,84.49791154,0.115847090104,85.65910772,0.0454801841911,88.23529308,0.0397452164403,88.93681622,0.0166324355847,97.46391658,0.0291604557688
20.12630232,1.12170766781,95.79169726,0.6416744534,95.61951686,0.664234384736,97.76630262,0.283863229282,98.88595316,0.175522009551,101.35346724,0.144046299584,102.02593866,0.0855788565982,110.20415774,0.0928886041377
33.5051892,1.38827692966,109.1493421,0.96511267248,108.9865081,0.935910373773,111.0346937,0.512377293292,112.1127986,0.369846432913,114.4716414,0.274001113338,115.1150611,0.23214331034,122.9443989,0.189446404697
46.88407608,1.68028926484,122.50698694,1.26013264148,122.35349934,1.16870183439,124.30308478,0.687510835391,125.33964404,0.473899581593,127.58981556,0.444905544032,128.20418354,0.360511595238,135.68464006,0.330420793513
60.26296296,1.89800543407,135.86463178,1.55992109652,135.72049058,1.45094987691,137.57147586,0.914964860668,138.56648948,0.732506602957,140.70798972,0.610149292383,141.29330598,0.56237534336,148.42488122,0.495534632469
73.64184984,2.08256488375,149.22227662,1.77864528905,149.08748182,1.73020680186,150.83986694,1.15718371115,151.79333492,0.959021546298,153.82616388,0.827543582307,154.38242842,0.732680111142,161.16512238,0.713175914928
87.02073672,2.26981514026,162.57992146,2.03701053211,162.45447306,1.94381385322,164.10825802,1.39599529428,165.02018036,1.16673407583,166.94433804,1.08661012947,167.47155086,0.982024487343,173.90536354,1.01617429308
100.3996236,2.4595469186,175.9375663,2.31261939131,175.8214643,2.19976068951,177.3766491,1.74376371575,178.2470258,1.4517235417,180.0625122,1.41709762617,180.5606733,1.30045744213,186.6456047,1.35258167023
113.77851048,2.62446347853,189.29521114,2.48399588923,189.18845554,2.44797187691,190.64504018,2.04345180898,191.47387124,1.82649207247,193.18068636,1.62003911012,193.64979574,1.58349316221,199.38584586,1.48428651019
127.15739736,2.76791337965,202.65285598,2.66900351387,202.55544678,2.68370288411,203.91343126,2.29596817859,204.70071668,2.13067771998,206.29886052,2.04254280488,206.73891818,1.9630538717,212.12608702,1.85062680551
140.53628424,2.93528156357,216.01050082,2.92086627598,215.92243802,2.86894588954,217.18182234,2.63601346072,217.92756212,2.37235272472,219.41703468,2.27005405899,219.82804062,2.13677042114,224.86632818,2.11982995347
153.91517112,2.98503159181,229.36814566,3.02639913347,229.28942926,3.01097240317,230.45021342,2.93032564322,231.15440756,2.70085353564,232.53520884,2.70207251769,232.91716306,2.59067953928,237.60656934,2.55298824678
167.294058,3.2003260349,242.7257905,3.27763573074,242.6564205,3.23112897059,243.7186045,3.2059357138,244.381253,3.05494925542,245.653383,3.02485185121,246.0062855,2.93370575352,250.3468105,3.05586127209
180.67294488,3.30613453845,256.08343534,3.43518843582,256.02341174,3.49486302677,256.98699558,3.51781425245,257.60809844,3.49193310309,258.77155716,3.38906256186,259.09540794,3.36458534546,263.08705166,3.44692036435
194.05183176,3.38638037726,269.44108018,3.55073993062,269.39040298,3.61827241207,270.25538666,3.71240707701,270.83494388,3.86640630799,271.88973132,3.91996230146,272.18453038,3.73973917032,275.82729282,3.80051503
207.43071864,3.55335988909,282.79872502,3.77177611638,282.75739422,3.82337024966,283.52377774,4.05707109933,284.06178932,4.09744958135,285.00790548,4.15903580035,285.27365282,4.13806467893,288.56753398,4.17322814016
220.80960552,3.63474184633,296.15636986,3.90539005826,296.12438546,3.95776425638,296.79216882,4.43118905502,297.28863476,4.5237032557,298.12607964,4.46001548485,298.36277526,4.66788593897,301.30777514,4.83059364636
234.1884924,3.79122721157,309.5140147,4.0508047989,309.4913767,4.11990345713,310.0605599,4.53484569969,310.5154802,4.90004685778,311.2442538,5.01066739262,311.4518977,5.0473044909,314.0480163,5.17182891354
247.56737928,3.84342886379,322.87165954,4.15359216443,322.85836794,4.29080972662,323.32895098,4.87367950899,323.74232564,5.15835855328,324.36242796,5.33489200674,324.54102014,5.46695363488,326.78825746,5.64766575469
260.94626616,3.95354265825,336.22930438,4.25324870579,336.22535918,4.39214672708,336.59734206,4.99694687022,336.96917108,5.17479836011,337.48060212,5.28707730696,337.63014258,5.54428735247,339.52849862,5.81123466884
274.32515304,4.0111259241,349.58694922,4.40800775239,349.59235042,4.49131774586,349.86573314,5.0525989037,350.19601652,5.36449601149,350.59877628,5.66465686314,350.71926502,5.72056273816,352.26873978,5.98330066944
287.70403992,4.19356262619,362.94459406,4.56122547017,362.95934166,4.52824257656,363.13412422,5.21841924836,363.42286196,5.45161714355,363.71695044,5.73607781268,363.80838746,5.89797538439,365.00898094,5.95085724845
301.0829268,4.23879807854,376.3022389,4.64084473691,376.3263329,4.62442247777,376.4025153,5.17155039295,376.6497074,5.58451378566,376.8351246,5.82688961025,376.8975099,5.94474522463,377.7492221,6.05745706027
314.46181368,4.3779127909,389.65988374,4.75379523933,389.69332414,4.7288021668,389.67090638,5.23795424787,389.87655284,5.57841038432,389.95329876,5.74836269776,389.98663234,6.07680960632,390.48946326,6.50239540524
327.84070056,4.43367228769,403.01752858,4.21389665442,403.06031538,4.09246768906,402.93929746,4.639410949,403.10339828,4.95202421114,403.07147292,5.1897617467,403.07575478,5.31029599373,403.22970442,5.83247738496
